model_name,accuracy_score,precision_score,recall_score,f1_score
SVC,0.7387387387387387,0.7639387992038921,0.7220275119617224,0.7344960091670618
RandomForestClassifier,0.6666666666666666,0.7886752136752136,0.6209389952153109,0.6357930599866084
AdaBoostClassifier,0.42342342342342343,0.7408392434988179,0.3834409888357257,0.3618279994992324
